code,families,non_families
02835,170138,95179
02836,170138,95179
02837,134883,53037
02838,117955,57119
02839,78197,35997
02840,116602,69414
02841,116602,69414
02842,103823,64596
02852,122597,55233
02857,134858,60757
02858,125880,60757
02859,94342,57842
02860,63692,38952
02861,81592,50608
02863,44525,31724
02864,124702,57641
02865,133199,61897
02871,148107,70627
02872,92755,29711
02873,141917,29711
02874,178587,92327
02875,131231,92327
02876,36442,44143
02878,107996,61409
02879,118960,62919
02881,135563,69830
02882,156419,57496
02885,95072,45700
02886,109330,48820
02888,102628,63265
02889,96087,49534
02891,111380,51691
02892,115909,78395
02893,83018,44185
02894,108327,52010
02895,64485,36391
02896,121409,48190
02898,88702,44875
02903,123799,70804
02904,78901,35570
02905,71190,43408
02906,184000,85589
02907,56749,38845
02908,65154,59039
02909,52879,37217
02910,78912,55600
02911,97828,44096
02912,97828,44096
02914,74229,47295
02915,90183,43509
02916,109683,59434
02917,118050,69061
02919,100991,45776
02920,88019,51897
02921,138941,55817
03031,186259,86770
03032,133197,75311
03033,160160,82973
03034,132590,65136
03036,161605,92625
03037,115148,92074
03038,98334,52553
03042,101303,50093
03043,131073,70803
03044,117302,83223
03045,119587,65159
03046,134185,110962
03047,100929,54297
03048,96959,55455
03049,186777,69591
03051,125562,76011
03052,130031,67820
03053,132686,61292
03054,134052,63256
03055,109287,54070
03057,134215,98093
03060,79023,50780
03062,126595,78433
03063,120491,62177
03064,105996,55219
03070,127929,91520
03071,113165,78837
03076,129525,73514
03077,94874,58404
03079,128021,52638
03082,119502,101642
03084,108652,75141
03086,116014,66959
03087,174098,88106
03101,75630,46138
03102,74597,52558
03103,69122,50695
03104,103169,53449
03106,117258,59940
03109,104302,68292
03110,183647,58646
03215,175654,78134
03216,95978,47703
03217,57140,56586
03218,100916,41127
03220,88154,66794
03221,91364,46344
03222,86416,42778
03223,117049,40171
03224,116217,47821
03225,97370,45515
03226,100601,49343
03227,115132,77227
03229,130408,76839
03230,90445,47621
03231,103412,27317
03233,216038,27317
03234,114047,51121
