zipcode,population_2,density
2493,11806,271
2494,10881,1500.2
2532,12715,356.1
2534,1127,158.9
2535,2151,34.1
2536,20261,285.9
2537,7124,200.5
2538,4663,287.4
2539,5084,73.2
2540,8888,311.8
2542,847,11.5
2543,924,31.5
2553,30,58.6
2554,13585,131.2
2556,2457,240.4
2557,1762,210
2558,1779,615.1
2559,3307,239.5
2561,1025,477.3
2562,3204,366.4
2563,9514,278
2564,180,11.5
2568,8810,264.7
2571,10738,221.7
2575,2432,41.3
2576,3985,163.6
2584,30,85
2601,17175,756.3
2630,1953,154.5
2631,10109,175.9
2632,12038,623
2633,4649,207.9
2635,2902,204.2
2637,292,146
2638,3180,217.8
2639,3439,474.8
2641,178,41.4
2642,5674,156.8
2643,0,0
2644,3713,424.9
2645,10845,247.4
2646,1801,239.5
2647,166,148.6
2648,7283,281.7
2649,14996,247.4
2650,764,216.3
2652,990,45.5
2653,6276,201.1
2655,3341,199.3
2657,3582,143
2659,1141,222.3
2660,6480,298.8
2663,398,53.8
2664,9010,498.1
2666,585,18
2667,3907,89.1
2668,2604,70.2
2670,1373,249.6
2671,870,193.7
2672,153,119.6
2673,9351,389.5
2675,7178,316.2
2702,4383,100.7
2703,46126,665.5
2713,34,3.7
2715,3531,122
2717,4782,83.2
2718,6867,257.7
2719,15911,496.1
2720,31210,914.1
2721,26981,2589.5
2723,16577,4013.6
2724,18127,3886.1
2725,2490,405.1
2726,15781,1102.5
2738,5378,147
2739,6478,144.3
2740,45990,3089.5
2743,10443,223.3
2744,12614,3743.7
2745,24884,978.4
2746,16675,2259.8
2747,22872,215.4
2748,11496,191.2
2760,28837,620
2762,9760,343
2763,1720,740.4
2764,4472,158.4
2766,19270,267.3
2767,15255,238
2769,12434,102.3
2770,5702,68
2771,15339,322
2777,17020,290.3
2779,6724,157.2
2780,51911,605.1
2790,16237,116.3
2791,361,107
2802,501,1000.3
2804,2456,80.4
2806,17201,811.4
2807,1007,42.8
2808,2432,123.8
2809,22305,879.8
2812,1043,100.8
2813,8012,84.3
2814,7638,68
2815,155,22
2816,32348,338.1
2817,6500,49.9
2818,19814,360.4
2822,6155,43.7
2823,25,45.2
2824,140,287.5
2825,5771,40.5
2826,589,93.4
2827,2357,42.4
2828,7331,651.3
2829,152,96.5
2830,6377,120.7
2831,4201,150.9
2832,4901,76.3
2833,782,86.3
2835,5531,228
2836,95,130.2
2837,3600,67.7
2838,3645,1007.5
2839,1313,117.6
2840,23460,1244.6
2841,1862,2086.7
2842,16983,523
2852,22979,287.9
2857,7992,71.5
2858,622,388.4
2859,7401,103.4
2860,48092,3478.8
2861,27128,2932.6
2863,22192,7176.8
2864,36053,525.9
2865,18269,428.2
2871,17674,399.8
2872,128,8.3
2873,72,7.4
2874,6615,164.1
2875,305,66.3
2876,782,1515.6
2878,16287,216.4
2879,22325,218.3
2881,6844,784.5
2882,13574,408.2
2885,11166,700.1
2886,29991,733
2888,18398,1204.6
2889,28433,1298.3
2891,21998,323.2
2892,6144,87.2
2893,30823,1519.4
2894,555,51
2895,43177,2147.2
2896,11499,192.8
2898,1441,46.8
2903,12450,2864.6
2904,31494,2349.1
2905,26569,2739.6
2906,26299,3276.3
2907,31705,5544.9
2908,38977,4423.4
2909,42021,5183.1
2910,22469,2526.9
2911,16151,2494.8
2912,4247,8282.9
2914,21966,1728.4
2915,15912,1114.6
2916,9293,1352.3
2917,14595,262.8
2918,2934,7282.8
2919,29473,484.1
2920,37389,1613.3
2921,12384,367.1
3031,11744,133.7
3032,5852,89.1
3033,5591,108.8
3034,4166,49.6
3036,5198,77.1
3037,4664,37
3038,34371,370.2
3042,7077,104.9
3043,1542,20
3044,4680,105.2
3045,13824,148.7
3046,3006,37.6
3047,1789,26.2
3048,3468,47.3
3049,8324,101.3
3051,25314,345.6
3052,8467,219
3053,25534,236.6
3054,26730,316.8
3055,16041,243.8
3057,2584,55.7
3060,31039,1827.2
3062,28562,916.8
3063,16289,775.4
3064,14769,1379.2
3070,6051,54.3
3071,5217,61.6
3076,14099,206.6
3077,10670,143
3079,30158,468.7
3082,1628,21.8
3084,1257,21.8
3086,4096,56.2
3087,15587,225
3101,3114,1571.1
3102,33924,1444.9
3103,37602,1580.3
3104,34557,1600.8
3106,14732,157.9
3109,10023,534
3110,23157,272.8
3215,198,0.4
3216,2420,23.4
3217,2365,81.3
3218,1411,35.6
3220,7424,94.7
3221,2142,16.9
3222,5992,32.5
3223,3382,18.7
3224,2233,20.2
3225,3491,48.6
3226,825,23.3
3227,1364,10.2
3229,5941,52.9
3230,1366,13.1
3231,138,186.2
3233,235,204.3
3234,4843,54.3
3235,8859,114.6
3237,2100,21.4
3238,84,32.4
3240,1125,10.5
3241,1010,10.5
3242,5671,49.6
3243,881,13.3
3244,7632,35.7
3245,2092,26.5
3246,16847,327.4
3249,7642,76.1
3251,1401,8.2
3253,6630,68.3
3254,4876,31.2
3255,1902,20.5
3256,2572,27
3257,4261,69.8
3258,2677,48.8
3259,250,2.9
3260,1027,18.5
3261,4601,63.1
3262,1177,7.9
3263,4129,65.1
3264,6916,73.1
3266,1963,6.9
3268,1467,18.3
3269,2935,22.9
3273,287,24
3275,12002,107.7
3276,8758,86
3278,3004,18.3
3279,783,6.4
3280,1157,9.9
3281,9072,59.3
3282,1099,10.2
3284,863,8.7
3285,2704,20.8
3287,1512,19.8
3290,5090,42.5
3291,111,194.6
3293,215,57.4
3301,33289,261.1
3303,16240,92.5
3304,8227,112.8
3307,5634,46.3
3431,25062,161.4
3440,2943,36.3
3441,261,23.4
3442,1508,51.1
3443,276,9.9
3444,1542,21.5
3445,655,13
3446,6415,55.9
3447,2341,26.1
3448,826,19.2
3449,1737,19.2
3450,1017,21.2
3451,3970,74.7
3452,5345,53.7
3455,2528,41
3456,791,11.8
3457,784,10.3
3458,6869,49.4
3461,6383,66.4
3462,1468,29.3
3464,863,7.4
3465,1768,39.1
3466,1818,45.4
3467,1944,21
3470,5066,22.2
3561,6015,46.5
3570,9710,27.3
3574,2534,10.7
3575,5,0.1
3576,2752,6.3
3579,353,0.2
3580,1308,5.7
3581,3139,7.8
3582,2143,10
3583,905,6.2
3584,3417,21.3
3585,2599,12.8
3586,652,15.1
3588,1538,5.3
3590,1118,3.9
3592,1064,1.1
3593,386,1.1
3595,706,7.4
3597,628,5.3
3598,3522,22.2
3601,502,12.4
3602,2352,14.8
3603,5194,45.3
3604,0,0
3605,792,9.7
3607,323,7.6
3608,3100,34.9
3609,555,238.6
3740,1063,11
3741,4157,21
3743,13612,88.9
3745,1700,15.6
3748,4550,37.5
3750,889,21.7
3751,444,85.8
3752,1010,17.5
3753,3380,46.2
3755,10723,141.8
3765,505,42.4
3766,10055,121.4
3768,1658,11.9
3770,606,53.2
3771,837,14.5
3773,7624,31.3
3774,1774,26.1
3777,1449,12
3779,714,7.2
3780,544,10.6
3781,2088,16.8
3782,3065,58.3
3784,4261,197.6
3785,2240,13.8
3801,22904,372
3809,3818,36.8
3810,2008,32.9
3811,7086,246
3812,652,4.3
3813,3273,12.9
3814,2349,27.3
3816,1509,22
3817,891,42.8
3818,4098,18.7
3819,4224,148.5
3820,32676,462.4
3823,2166,71.8
3824,15410,265.4
3825,9270,76.3
3826,2904,327.3
3827,3216,69.5
3830,1329,54.2
3832,346,5.5
3833,22334,177.8
3835,6771,71.1
3836,1305,14.5
3837,1829,35.4
3838,1303,22.1
3839,3818,187.3
3840,4006,147.5
3841,6255,232.7
3842,15979,482.7
3844,2305,71.9
3845,1199,39.3
3846,988,5.8
3847,439,206.5
3848,6177,120.5
3849,1377,23.9
3850,85,11.4
3851,4121,60.5
3852,382,21.9
3853,819,36.7
3854,817,390.1
3855,2698,25.3
3856,2022,110.1
3857,9365,287.1
3858,4801,188.9
3860,3817,63.5
3861,4524,88.5
3862,4507,125
3864,1998,19.2
3865,7812,284.8
3867,22240,302.3
3868,6259,276.3
3869,2421,139.7
3870,5180,166
3871,331,230.1
3872,4109,30.5
3873,6498,180
3874,8627,372.3
3875,1137,26.8
3878,12061,474.4
3882,1721,17.9
3883,548,11.6
3884,4231,33.3
3885,7662,195.6
3886,1256,14.1
3887,1947,39.9
3890,79,18.6
3894,6414,52.4
3897,33,5.4
3901,7891,81.2
3902,2262,45.8
3903,6725,131.3
3904,8108,286.7
3905,1898,106.3
3906,4950,49.9
3907,1207,114.2
3908,7443,90.1
3909,10982,120.3
3910,43,335.6
3911,294,320.1
4001,2599,26.6
4002,7582,44.2
4003,199,74
4005,24462,197.1
4006,54,330
4008,3042,32
4009,5118,35
4010,1658,14.5
4011,21589,178.2
4015,3643,45
4017,566,61.1
4019,47,21.8
4020,1758,30.6
4021,6555,123.2
4022,1135,9.5
4024,544,14
4027,6437,45.2
4029,1930,22.7
4030,2247,56.4
4032,8622,95.8
4037,3827,18.1
4038,18114,138.3
4039,7773,73.4
4040,2952,18.4
4041,1674,17
4042,4707,56.7
4043,11466,126.1
4046,7860,68.3
4047,1686,11.1
4048,3169,45.1
4049,3883,35.7
4050,271,72.9
4051,1321,11.8
4055,3911,47.4
4056,96,21
4057,289,339.3
4061,3120,60
4062,18438,152.6
4063,621,326.6
4064,8333,480.2
4066,640,137
4068,1469,18
4069,1565,26.4
4071,4990,52.1
4072,20203,202.2
4073,17114,175.1
4074,21639,175.4
4076,2930,29.2
4079,4146,75.3
4083,4698,180.5
4084,7396,65.2
4085,2787,70.9
4086,9431,113.2
4087,2553,49.6
4088,1259,9.8
4090,11156,74.7
4091,769,14.7
4092,20074,450.9
4093,8332,79.4
4095,1617,20.5
4096,8903,256.4
4097,4037,73.4
4101,17816,3389.3
4102,17174,1106.5
4103,32011,1208
4105,12221,161.1
4106,26646,845.3
4107,9448,245.5
4108,885,281
4109,130,40.4
4110,1777,294.3
4210,23790,154.8
4216,657,1.8
4217,3280,6.9
4219,1298,8.2
4220,3486,16.2
4221,1059,14
4222,4170,42.1
4224,2675,13.8
4226,80,6.3
4227,32,85
4231,257,2.9
4234,0,0
4236,4403,52.7
4237,219,12
4238,1324,24.9
4239,4661,37.2
4240,36615,414
4250,4532,149.3
4252,5056,175.8
4253,1873,19.2
4254,3089,60.6
4255,618,6.3
4256,3109,109.2
4257,2739,45.3
4258,2766,36.1
4259,3279,43.6
4260,5668,46.4
4261,282,0.5
4263,2427,23.4
4265,790,52
4267,27,23.1
4268,5075,43.5
4270,6248,30.7
4271,0,0
4274,5880,53.8
4275,584,2.4
4276,5846,32.9
4280,6804,63
4281,5180,49.1
4282,5864,38.2
4284,1006,21.1
4285,393,2.6
4286,0,0
4287,3147,28
4289,2017,31.5
4290,1590,13.2
4292,1024,9
4294,3954,28.6
4330,26271,86.7
4341,30,356.2
4342,1883,23.9
4344,2987,102.6
4345,12163,65.5
4346,1595,288.4
4347,2542,167.4
4348,3417,17.5
4349,1274,16.9
4350,3587,37
4351,2412,43.4
4352,1613,16.4
4353,2251,18.6
4354,1408,13.4
4355,2587,34.3
4357,3503,44.4
4358,4351,33.7
4359,282,147.7
4360,602,9.6
4363,2627,29.3
4364,6103,75.7
4401,44184,170.5
4406,722,2.3
4408,181,0.2
4410,1074,10.1
4411,1657,12.9
4412,9606,243.4
4413,137,0.3
4414,1456,2.4
4415,302,718.7
4416,5585,37.3
4417,390,1.6
4418,1745,5.7
4419,2838,29.9
4421,1162,57.7
4422,1176,11.2
4424,872,3.4
4426,4733,15.2
4427,2878,27.6
4428,3496,22.7
4429,4875,26.6
4430,1581,86.4
4431,33,158.3
4434,1124,17.6
4435,1111,11.1
4438,1244,19.5
4441,1689,0.7
4442,103,0.6
4443,2080,5.3
4444,9189,51.4
4448,1418,5.8
4449,1138,11.8
4450,1441,33.2
4451,211,1.4
4453,733,3.7
4454,26,0.5
4455,755,3.5
4456,2909,37.4
4457,5709,8.5
4459,735,3.7
4460,1340,6.7
4461,3052,25.8
4462,4517,2.5
4463,2830,7.6
4464,501,4.2
4468,9245,29.1
4469,3078,1389.8
4471,532,2.1
4472,1935,15.9
4473,8403,187.3
4474,3775,58.3
4475,515,8.7
4476,1144,11.1
4478,367,0.6
4479,1323,13.3
4481,521,5.5
4485,174,1.6
4487,819,1.4
4488,1271,14
4489,296,458.9
4490,244,0.5
4491,162,1.9
4492,88,0.8
4493,1848,10.4
4495,392,3.5
4496,3845,41.8
4497,354,0.7
4530,11344,152.2
4535,743,13.7
4537,1464,35.1
4538,1772,151.1
4539,1450,34
4541,50,55.5
4543,2221,69
4544,936,96.2
4547,1197,32.8
4548,937,19.5
4551,704,16.5
4553,1804,24
4554,634,60.1
4555,1541,31.4
4556,1252,26.7
4558,190,13.2
4562,2038,27.4
4563,1395,28
4564,495,25.4
4568,486,36
4570,0,0
4571,621,115.3
4572,5135,27.7
4573,453,22.1
4574,1653,16.8
4575,301,99.2
4576,512,38.7
4578,4596,53.1
4579,3088,34
4605,14201,20.7
4606,1204,11
4607,1222,10.3
4609,5098,46.6
4611,467,32.1
4612,545,50.1
4613,105,27.1
4614,2796,17.3
4616,753,16.2
4617,741,12.8
4619,3010,33.9
4622,867,1
4623,1040,3.4
4624,231,15.2
4625,54,8.7
4626,583,4.8
4627,1861,27.7
4628,557,2.1
4630,1307,5.6
4631,1226,130.2
4634,2115,8.7
4635,16,2.6
4640,2472,32.6
4642,138,6.3
4643,861,15.7
4645,30,0.9
4646,66,32.3
4648,682,8.8
4649,1195,16.2
4650,277,31.5
4652,1421,9
4653,662,71.9
4654,3355,10.7
4655,1010,18.2
4657,310,1.5
4658,1323,21.5
4660,1118,14.6
4662,520,46.6
4664,1431,13.8
4666,1316,8.7
4667,1406,18.2
4668,1861,3.3
4669,124,27.5
4671,595,8.2
4673,164,20.8
4674,255,10.8
4675,133,16.6
4676,1186,18.8
4677,271,26.2
4679,1535,43.9
4680,1297,11.6
4681,887,34.9
4683,0,0
4684,1831,19.1
4685,436,10.5
4686,158,0.5
4691,456,3.8
4693,474,12.7
4694,2256,6.6
4730,10086,15.9
4732,1534,2.2
4733,291,1.8
4734,913,8.8
4735,473,0.9
4736,9021,22.1
4737,0,0
4739,819,1.6
4740,1454,14.5
4742,3302,16.5
4743,4724,11
4745,789,10.6
4746,419,4.4
4747,1372,1.7
4750,2110,10.4
4756,3240,76.2
4757,2607,4.8
4758,1374,15.1
4760,679,3.4
4761,467,9.9
4762,466,5.2
4763,679,7.5
4764,21,0
4765,1047,0.5
4766,366,3.9
4768,364,1.6
4769,8859,45.1
4772,896,11.7
4773,639,6.1
4774,608,1.5
4776,966,3.9
4777,426,2.1
4779,341,1.3
4780,935,2.1
4781,523,4.4
4783,456,2.3
4785,1936,6
4786,1718,9.4
4787,560,5.4
4841,6977,209.8
4843,5175,108.1
4847,1730,30.4
4848,600,16.2
4849,3827,24.2
4851,69,13.9
4852,124,56.3
4853,476,16.2
4854,1450,53
4855,262,86.5
4856,3615,64.5
4858,1347,45.5
4859,781,67.9
4860,1588,31.6
4861,2753,97.2
4862,4218,25.1
4863,991,16.4
4864,4812,40
4901,26467,129.7
4910,2331,23.2
4911,1783,10.8
4912,778,5.3
4915,8979,47.5
4917,3218,29.1
4918,0,0
4920,1630,2.9
4921,1587,12.3
4922,909,9
4923,559,11.5
4924,2374,22.3
4925,31,0.2
4926,43,329.3
4927,3368,29.6
